,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,car,because
12,mettre,to put
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,étaient,were
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,pouvoir,power
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,enfant,child
50,venu,came
51,venez,come
52,devant,in front of
53,vers,towards
54,chambre,bedroom
55,mis,placed
56,belle,beautiful
57,droit,law
58,aujourd'hui,today
59,enfin,finally
60,espère,hope
61,eau,water
62,parti,left
63,nouvelle,new
64,boulot,job
65,arrêter,Stop
66,dirait,would say
67,terre,Earth
68,donne,given
69,loin,far
70,fin,end
71,croire,believe
72,chérie,sweetheart
73,gros,large
74,plutôt,rather
75,aura,will have
76,filles,girls
77,bureau,office
